categoryId	displayName	displayPath	lineage	coverageTier	appCategory	includeForEmbedding	embeddingPriority	annotationStatus	notes
razor	剃须刀	个人护理 / 个人洗护 / 个人护理用品 / 剃须刀	Health & Beauty / Personal Care / Personal Care Products / Razors	mvp	daily	pending	p1	pending	
comb	梳子	个人护理 / 个人洗护 / 个人护理用品 / 梳子	Health & Beauty / Personal Care / Personal Care Products / Combs	mvp	daily	pending	p1	pending	
body-wash-bottle	沐浴露	个人护理 / 个人洗护 / 个人护理用品 / 沐浴露	Health & Beauty / Personal Care / Personal Care Products / Body Wash Bottles	mvp	daily	pending	p1	pending	
shampoo-bottle	洗发水	个人护理 / 个人洗护 / 个人护理用品 / 洗发水	Health & Beauty / Personal Care / Personal Care Products / Shampoo Bottles	mvp	daily	pending	p1	pending	
toothbrush	牙刷	个人护理 / 个人洗护 / 个人护理用品 / 牙刷	Health & Beauty / Personal Care / Personal Care Products / Toothbrushes	mvp	daily	pending	p1	pending	
toothpaste	牙膏	个人护理 / 个人洗护 / 个人护理用品 / 牙膏	Health & Beauty / Personal Care / Personal Care Products / Toothpaste Tubes	mvp	daily	pending	p1	pending	
skincare-cream-jar	面霜罐	个人护理 / 个人洗护 / 个人护理用品 / 面霜罐	Health & Beauty / Personal Care / Personal Care Products / Skin Cream Jars	mvp	daily	pending	p1	pending	
denture-cleaner-box	假牙清洁片盒	个人护理 / 个人洗护 / 口腔护理 / 假牙清洁片盒	Beauty/Personal Care/Hygiene / Oral Care / Oral Care Products / Denture Cleaner Boxes	mvp	daily	pending	p2	pending	
water-flosser	冲牙器	个人护理 / 个人洗护 / 口腔护理 / 冲牙器	Beauty/Personal Care/Hygiene / Oral Care / Oral Care Products / Water Flossers	mvp	appliance	pending	p2	pending	
mouthwash-bottle	漱口水瓶	个人护理 / 个人洗护 / 口腔护理 / 漱口水瓶	Beauty/Personal Care/Hygiene / Oral Care / Oral Care Products / Mouthwash Bottles	mvp	daily	pending	p2	pending	
toothbrush-pack	牙刷包装	个人护理 / 个人洗护 / 口腔护理 / 牙刷包装	Beauty/Personal Care/Hygiene / Oral Care / Oral Care Products / Toothbrush Packs	mvp	daily	pending	p2	pending	
dental-floss-box	牙线盒	个人护理 / 个人洗护 / 口腔护理 / 牙线盒	Beauty/Personal Care/Hygiene / Oral Care / Oral Care Products / Dental Floss Boxes	mvp	daily	pending	p2	pending	
interdental-brush-pack	牙缝刷包	个人护理 / 个人洗护 / 口腔护理 / 牙缝刷包	Beauty/Personal Care/Hygiene / Oral Care / Oral Care Products / Interdental Brush Packs	mvp	daily	pending	p2	pending	
toothpaste-tube	牙膏管	个人护理 / 个人洗护 / 口腔护理 / 牙膏管	Beauty/Personal Care/Hygiene / Oral Care / Oral Care Products / Toothpaste Tubes	mvp	daily	pending	p2	pending	
toothbrush-head-pack	电动牙刷头	个人护理 / 个人洗护 / 口腔护理 / 电动牙刷头	Beauty/Personal Care/Hygiene / Oral Care / Oral Care Products / Toothbrush Head Packs	mvp	daily	pending	p2	pending	
makeup-remover-bottle	卸妆水瓶	个人护理 / 个人洗护 / 护肤美妆 / 卸妆水瓶	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Makeup Remover Bottles	mvp	daily	pending	p2	pending	
cleanser-tube	洁面乳管	个人护理 / 个人洗护 / 护肤美妆 / 洁面乳管	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Cleanser Tubes	mvp	daily	pending	p2	pending	
toner-bottle	爽肤水瓶	个人护理 / 个人洗护 / 护肤美妆 / 爽肤水瓶	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Toner Bottles	mvp	daily	pending	p2	pending	
eyebrow-pencil	眉笔	个人护理 / 个人洗护 / 护肤美妆 / 眉笔	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Eyebrow Pencils	mvp	daily	pending	p2	pending	
eyeliner-pen	眼线笔	个人护理 / 个人洗护 / 护肤美妆 / 眼线笔	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Eyeliner Pens	mvp	daily	pending	p2	pending	
mascara-tube	睫毛膏管	个人护理 / 个人洗护 / 护肤美妆 / 睫毛膏管	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Mascara Tubes	mvp	daily	pending	p2	pending	
foundation-bottle	粉底液瓶	个人护理 / 个人洗护 / 护肤美妆 / 粉底液瓶	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Foundation Bottles	mvp	daily	pending	p2	pending	
powder-compact	粉饼盒	个人护理 / 个人洗护 / 护肤美妆 / 粉饼盒	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Powder Compacts	mvp	daily	pending	p2	pending	
serum-bottle	精华瓶	个人护理 / 个人洗护 / 护肤美妆 / 精华瓶	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Serum Bottles	mvp	daily	pending	p2	pending	
blush-compact	腮红盒	个人护理 / 个人洗护 / 护肤美妆 / 腮红盒	Beauty/Personal Care/Hygiene / Cosmetics / Skin Care and Makeup / Blush Compacts	mvp	daily	pending	p2	pending	
